id,domain,difficulty,question,answer
13,DATA_ANALYSIS,Hard,"You run your regression on different subsets of your data, and find that in each subset, the beta value for a certain variable varies wildly. What could be the issue here?","- The dataset might be heterogeneous. In which case, it is recommended to cluster datasets into different subsets wisely, and then draw different models for different subsets. Or, use models like non parametric models (trees) which can deal with heterogeneity quite nicely."
14,DATA_ANALYSIS,Hard,"What is the main idea behind ensemble learning? If I had many different models that predicted the same response variable, what might I want to do to incorporate all of the models? Would you expect this to perform better than an individual model or worse?","The assumption is that a group of weak learners can be combined to form a strong learner. Hence the combined model is expected to perform better than an individual model. Assumptions: average out biases reduce variance Bagging works because some underlying learning algorithms are unstable: slightly different inputs leads to very different outputs. If you can take advantage of this instability by running multiple instances, it can be shown that the reduced instability leads to lower error. Boosting works because of the focus on better defining the ""decision edge"". By reweighting examples near the margin (the positive and negative examples) you get a reduced error. Use the outputs of your models as inputs to a meta-model. For example, if you're doing binary classification, you can use all the probability outputs of your individual models as inputs to a final logistic regression (or any model, really) that can combine the probability estimates. One very important point is to make sure that the output of your models are out-of-sample predictions. This means that the predicted value for any row in your dataframe should NOT depend on the actual value for that row."
15,DATA_ANALYSIS,Medium,"Given that you have wi data in your o ce, how would you determine which rooms and areas are underutilized and overutilized?","If the data is more used in one room, then that one is over utilized! Maybe account for the room capacity and normalize the data."
16,DATA_ANALYSIS,Medium,How could you use GPS data from a car to determine the quality of a driver?,"Analyze driving behavior such as speeding, harsh braking, sudden acceleration, and route efficiency. A driver who drives smoothly, safely, and consistently would receive a higher driver quality score."
17,DATA_ANALYSIS,Hard,"Given accelerometer, altitude, and fuel usage data from a car, how would you determine the optimum acceleration pattern to drive over hills?","- Model the relationship between acceleration, slope, and fuel consumption. The optimum pattern is the one that minimizes fuel usage while maintaining acceptable speed and travel time."
18,DATA_ANALYSIS,Hard,"Given position data of NBA players in a season’s games, how would you evaluate a basketball player’s defensive ability?","- Measure how effectively a player reduces opponents' scoring opportunities through positioning, shot contesting, and defensive coverage. Lower opponent scoring indicates stronger defense."
19,DATA_ANALYSIS,Medium,How would quantify the influence of a Twitter user?,like page rank with each user corresponding to the webpages and linking to the page equivalent to following.
20,DATA_ANALYSIS,Hard,"Given location data of golf balls in games, how would construct a model that can advise golfers where to aim?",- Use historical shot data to predict landing locations and recommend the target that minimizes expected strokes while avoiding hazards such as bunkers and water.
21,DATA_ANALYSIS,Medium,You have 5000 people that rank 10 sushis in terms of saltiness. How would you aggregate this data to estimate the true saltiness rank in each sushi?,"Some people would take the mean rank of each sushi. If I wanted something simple, I would use the median, since ranks are (strictly speaking) ordinal and not interval, so adding them is a bit risque (but people do it all the time and you probably won't be far wrong)."
22,DATA_ANALYSIS,Hard,"Given data on congressional bills and which congressional representatives co-sponsored the bills, how would you determine which other representatives are most similar to yours in voting behavior? How would you evaluate who is the most liberal? Most republican? Most bipartisan?","collaborative filtering. you have your votes and we can calculate the similarity for each representatives and select the most similar representative for liberal and republican parties, find the mean vector and find the representative closest to the center point."
23,DATA_ANALYSIS,Medium,How would you come up with an algorithm to detect plagiarism in online content?,"Reduce the text to a more compact form (e.g. fingerprinting, bag of words) then compare those with other texts by calculating the similarity."
24,DATA_ANALYSIS,Medium,You have data on all purchases of customers at a grocery store. Describe to me how you would program an algorithm that would cluster the customers into groups. How would you determine the appropriate number of clusters to include?,- KMeans - choose a small value of k that still has a low SSE (elbow method)
25,DATA_ANALYSIS,Hard,Let's say you're building the recommended music engine at Spotify to recommend people music based on past listening history. How would you approach this problem?,- Use a hybrid recommendation system combining collaborative filtering (similar users) and content-based filtering (similar songs). Then rank recommendations based on the probability that the user will enjoy the song.
26,DL,Easy,What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network. In the mid-1960s, Alexey Grigorevich Ivakhnenko published the first general, while working on deep learning network. Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc."
27,DL,Medium,"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior. Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences. Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making. 3) Differentiate supervised and unsupervised deep learning procedures. Supervised learning is a system in which both input and desired output data are provided. Input and output data are labeled to provide a learning basis for future data processing. Unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same. The common unsupervised learning method is cluster analysis. It is used for exploratory data analysis to find hidden patterns or grouping in data."
28,DL,Easy,What are the applications of deep learning?,There are various applications of deep learning: Computer vision Natural language processing and pattern recognition Image recognition and processing Machine translation Sentiment analysis Question Answering system Object Classification and Detection Automatic Handwriting Generation Automatic Text Generation.
29,DL,Easy,Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input."
30,DL,Easy,"What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.
31,DL,Medium,What is Backpropagation?,Backpropagation is a training algorithm which is used for multilayer neural networks. It transfers the error information from the end of the network to all the weights inside the network. It allows the efficient computation of the gradient. Backpropagation can be divided into the following steps: It can forward propagation of training data through the network to generate output. It uses target value and output value to compute error derivative concerning output activations. It can backpropagate to compute the derivative of the error concerning output activations in the previous layer and continue for all hidden layers. It uses the previously calculated derivatives for output and all hidden layers to calculate the error derivative concerning weights. It updates the weights.
32,DL,Hard,What is the function of the Fourier Transform in Deep Learning?,"Fourier transform package is highly efficient for analyzing, maintaining, and managing a large databases. The software is created with a high-quality feature known as the special portrayal. One can effectively utilize it to generate real-time array data, which is extremely helpful for processing all categories of signals. 9) Describe the theory of autonomous form of deep learning in a few words. There are several forms and categories available for the particular subject, but the autonomous pattern represents independent or unspecified mathematical bases which are free from any specific categorizer or formula."
33,DL,Medium,"What is the use of Deep learning in today's age, and how is it adding data scientists?",Deep learning has brought significant changes or revolution in the field of machine learning and data science. The concept of a complex neural network (CNN) is the main center of attention for data scientists. It is widely taken because of its advantages in performing next-level machine learning operations. The advantages of deep learning also include the process of clarifying and simplifying issues based on an algorithm due to its utmost flexible and adaptable nature. It is one of the rare procedures which allow the movement of data in independent pathways. Most of the data scientists are viewing this particular medium as an advanced additive and extended way to the existing process of machine learning and utilizing the same for solving complex day to day issues.
34,DL,Easy,What are the deep learning frameworks or tools?,"Deep learning frameworks or tools are: Tensorflow, Keras, Chainer, Pytorch, Theano & Ecosystem, Caffe2, CNTK, DyNetGensim, DSSTNE, Gluon, Paddle, Mxnet, BigDL"
35,DL,Easy,What are the disadvantages of deep learning?,"There are some disadvantages of deep learning, which are: Deep learning model takes longer time to execute the model. In some cases, it even takes several days to execute a single model depends on complexity. The deep learning model is not good for small data sets, and it fails here."
36,DL,Medium,What is the meaning of term weight initialization in neural networks?,"In neural networking, weight initialization is one of the essential factors. A bad weight initialization prevents a network from learning. On the other side, a good weight initialization helps in giving a quicker convergence and a better overall error. Biases can be initialized to zero. The standard rule for setting the weights is to be close to zero without being too small. 14) Explain Data Normalization. Data normalization is an essential preprocessing step, which is used to rescale values to fit in a specific range. It assures better convergence during backpropagation. In general, data normalization boils down to subtracting the mean of each data point and dividing by its standard deviation."
37,DL,Hard,Why is zero initialization not a good weight initialization process?,"If the set of weights in the network is put to a zero, then all the neurons at each layer will start producing the same output and the same gradients during backpropagation. As a result, the network cannot learn at all because there is no source of asymmetry between neurons. That is the reason why we need to add randomness to the weight initialization process."
38,DL,Easy,What are the prerequisites for starting in Deep Learning?,"There are some basic requirements for starting in Deep Learning, which are: Machine Learning Mathematics Python Programming"
39,DL,Easy,What are the supervised learning algorithms in Deep learning?,Artificial neural network Convolution neural network Recurrent neural network
40,DL,Easy,What are the unsupervised learning algorithms in Deep learning?,Self Organizing Maps Deep belief networks (Boltzmann Machine) Auto Encoders
41,DL,Easy,How many layers in the neural network?,Input Layer The input layer contains input neurons which send information to the hidden layer. Hidden Layer The hidden layer is used to send data to the output layer. Output Layer The data is made available at the output layer.
42,DL,Medium,What is the use of the Activation function?,"The activation function is used to introduce nonlinearity into the neural network so that it can learn more complex function. Without the Activation function, the neural network would be only able to learn function, which is a linear combination of its input data. Activation function translates the inputs into outputs. The activation function is responsible for deciding whether a neuron should be activated or not. It makes the decision by calculating the weighted sum and further adding bias with it. The basic purpose of the activation function is to introduce non-linearity into the output of a neuron."
43,DL,Medium,How many types of activation function are available?,Binary Step Sigmoid Tanh ReLU Leaky ReLU Softmax Swish
44,DL,Easy,What is a binary step function?,"The binary step function is an activation function, which is usually based on a threshold. If the input value is above or below a particular threshold limit, the neuron is activated, then it sends the same signal to the next layer. This function does not allow multi-value outputs."
45,DL,Easy,What is the sigmoid function?,"The sigmoid activation function is also called the logistic function. It is traditionally a trendy activation function for neural networks. The input data to the function is transformed into a value between 0.0 and 1.0. Input values that are much larger than 1.0 are transformed to the value 1.0. Similarly, values that are much smaller than 0.0 are transformed into 0.0. The shape of the function for all possible inputs is an S-shape from zero up through 0.5 to 1.0. It was the default activation used on neural networks, in the early 1990s."
46,DL,Easy,What is Tanh function?,"The hyperbolic tangent function, also known as tanh for short, is a similar shaped nonlinear activation function. It provides output values between -1.0 and 1.0. Later in the 1990s and through the 2000s, this function was preferred over the sigmoid activation function as models. It was easier to train and often had better predictive performance."
47,DL,Medium,What is ReLU function?,"A node or unit which implements the activation function is referred to as a rectified linear activation unit or ReLU for short. Generally, networks that use the rectifier function for the hidden layers are referred to as rectified networks. Adoption of ReLU may easily be considered one of the few milestones in the deep learning revolution."
48,DL,Medium,What is the use of leaky ReLU function?,The Leaky ReLU (LReLU or LReL) manages the function to allow small negative values when the input is less than zero.
49,DL,Easy,What is the softmax function?,"The softmax function is used to calculate the probability distribution of the event over 'n' different events. One of the main advantages of using softmax is the output probabilities range. The range will be between 0 to 1, and the sum of all the probabilities will be equal to one. When the softmax function is used for multi-classification model, it returns the probabilities of each class, and the target class will have a high probability."
50,DL,Easy,What is a Swish function?,"Swish is a new, self-gated activation function. Researchers at Google discovered the Swish function. According to their paper, it performs better than ReLU with a similar level of computational efficiency."
51,DL,Medium,What is the most used activation function?,Relu function is the most used activation function. It helps us to solve vanishing gradient problems.
52,DL,Medium,Can Relu function be used in output layer?,"No, Relu function has to be used in hidden layers."
53,DL,Medium,In which layer softmax activation function used?,Softmax activation function has to be used in the output layer.
54,DL,Medium,What do you understand by Autoencoder?,"Autoencoder is an artificial neural network. It can learn representation for a set of data without any supervision. The network automatically learns by copying its input to the output; typically,internet representation consists of smaller dimensions than the input vector. As a result, they can learn efficient ways of representing the data. Autoencoder consists of two parts; an encoder tries to fit the inputs to the internal representation, and a decoder converts the internal state to the outputs."
55,DL,Medium,What do you mean by Dropout?,"Dropout is a cheap regulation technique used for reducing overfitting in neural networks. We randomly drop out a set of nodes at each training step. As a result, we create a different model for each training case, and all of these models share weights. It's a form of model averaging."
56,DL,Easy,What do you understand by Tensors?,"Tensors are nothing but a de facto for representing the data in deep learning. They are just multidimensional arrays, which allows us to represent the data having higher dimensions. In general, we deal with high dimensional data sets where dimensions refer to different features present in the data set."
57,DL,Hard,What do you understand by Boltzmann Machine?,"A Boltzmann machine (also known as stochastic Hopfield network with hidden units) is a type of recurrent neural network. In a Boltzmann machine, nodes make binary decisions with some bias. Boltzmann machines can be strung together to create more sophisticated systems such as deep belief networks. Boltzmann Machines can be used to optimize the solution to a problem. Some important points about Boltzmann Machine- It uses a recurrent structure. It consists of stochastic neurons, which include one of the two possible states, either 1 or 0. The neurons present in this are either in an adaptive state (free state) or clamped state (frozen state). If we apply simulated annealing or discrete Hopfield network, then it would become a Boltzmann Machine."
58,DL,Easy,What is Model Capacity?,"The capacity of a deep learning neural network controls the scope of the types of mapping functions that it can learn. Model capacity can approximate any given function. When there is a higher model capacity, it means that the larger amount of information can be stored in the network."
59,DL,Easy,What is the cost function?,"A cost function describes us how well the neural network is performing with respect to its given training sample and the expected output. It may depend on variables such as weights and biases.It provides the performance of a neural network as a whole. In deep learning, our priority is to minimize the cost function. That's why we prefer to use the concept of gradient descent."
60,DL,Medium,Explain gradient descent?,"An optimization algorithm that is used to minimize some function by repeatedly moving in the direction of steepest descent as specified by the negative of the gradient is known as gradient descent. It's an iteration algorithm, in every iteration algorithm, we compute the gradient of a cost function, concerning each parameter and update the parameter of the function via the following formula: Where, Θ - is the parameter vector, α - learning rate, J(Θ) - is a cost function In machine learning, it is used to update the parameters of our model. Parameters represent the coefficients in linear regression and weights in neural networks."
61,DL,Medium,"Explain the following variant of Gradient Descent: Stochastic, Batch, and Mini-batch?","Stochastic Gradient Descent Stochastic gradient descent is used to calculate the gradient and update the parameters by using only a single training example. Batch Gradient Descent Batch gradient descent is used to calculate the gradients for the whole dataset and perform just one update at each iteration. Mini-batch Gradient Descent Mini-batch gradient descent is a variation of stochastic gradient descent. Instead of a single training example, mini-batch of samples is used. Mini-batch gradient descent is one of the most popular optimization algorithms."
62,DL,Medium,What are the main benefits of Mini-batch Gradient Descent?,"It is computationally efficient compared to stochastic gradient descent. It improves generalization by finding flat minima. It improves convergence by using mini-batches. We can approximate the gradient of the entire training set, which might help to avoid local minima."
63,DL,Easy,What is matrix element-wise multiplication? Explain with an example.,Element-wise matrix multiplication is used to take two matrices of the same dimensions. It further produces another combined matrix with the elements that are a product of corresponding elements of matrix a and b.
64,DL,Medium,What do you understand by a convolutional neural network?,"A convolutional neural network, often called CNN, is a feedforward neural network. It uses convolution in at least one of its layers. The convolutional layer contains a set of filter (kernels). This filter is sliding across the entire input image, computing the dot product between the weights of the filter and the input image. As a result of training, the network automatically learns filters that can detect specific features. 43) Explain the different layers of CNN. There are four layered concepts that we should understand in CNN (Convolutional Neural Network): Convolution This layer comprises of a set of independent filters. All these filters are initialized randomly. These filters then become our parameters which will be learned by the network subsequently. ReLU The ReLu layer is used with the convolutional layer. Pooling It reduces the spatial size of the representation to lower the number of parameters and computation in the network. This layer operates on each feature map independently. Full Collectedness Neurons in a completely connected layer have complete connections to all activations in the previous layer, as seen in regular Neural Networks. Their activations can be easily computed with a matrix multiplication followed by a bias offset."
65,DL,Medium,What is an RNN?,"RNN stands for Recurrent Neural Networks. These are the artificial neural networks which are designed to recognize patterns in sequences of data such as handwriting, text, the spoken word, genomes, and numerical time series data. RNN use backpropagation algorithm for training because of their internal memory. RNN can remember important things about the input they received, which enables them to be very precise in predicting what's coming next."
66,DL,Medium,What are the issues faced while training in Recurrent Networks?,"Recurrent Neural Network uses backpropagation algorithm for training, but it is applied on every timestamp. It is usually known as Back-propagation Through Time (BTT). There are two significant issues with Back-propagation, such as: Vanishing Gradient When we perform Back-propagation, the gradients tend to get smaller and smaller because we keep on moving backward in the Network. As a result, the neurons in the earlier layer learn very slowly if we compare it with the neurons in the later layers.Earlier layers are more valuable because they are responsible for learning and detecting simple patterns. They are the building blocks of the network. If they provide improper or inaccurate results, then how can we expect the next layers and complete network to perform nicely and provide accurate results. The training procedure tales long, and the prediction accuracy of the model decreases. Exploding Gradient Exploding gradients are the main problem when large error gradients accumulate. They provide result in very large updates to neural network model weights during training. Gradient Descent process works best when updates are small and controlled. When the magnitudes of the gradient accumulate, an unstable network is likely to occur. It can cause poor prediction of results or even a model that reports nothing useful. 46) Explain the importance of LSTM. LSTM stands for Long short-term memory. It is an artificial RNN (Recurrent Neural Network) architecture, which is used in the field of deep learning. LSTM has feedback connections which makes it a ""general purpose computer."" It can process not only a single data point but also entire sequences of data. They are a special kind of RNN which are capable of learning long-term dependencies."
67,DL,Medium,What are the different layers of Autoencoders? Explain briefly.,An autoencoder contains three layers: Encoder The encoder is used to compress the input into a latent space representation. It encodes the input images as a compressed representation in a reduced dimension. The compressed images are the distorted version of the original image. Code The code layer is used to represent the compressed input which is fed to the decoder. Decoder The decoder layer decodes the encoded image back to its original dimension. The decoded image is a reduced reconstruction of the original image. It is automatically reconstructed from the latent space representation.
68,DL,Hard,What do you understand by Deep Autoencoders?,"Deep Autoencoder is the extension of the simple Autoencoder. The first layer present in DeepAutoencoder is responsible for first-order functions in the raw input. The second layer is responsible for second-order functions corresponding to patterns in the appearance of first-order functions. Deeper layers which are available in the Deep Autoencoder tend to learn even high-order features. A deep autoencoder is the combination of two, symmetrical deep-belief networks: First four or five shallow layers represent the encoding half. The other combination of four or five layers makes up the decoding half."
69,DL,Easy,What are the three steps to developing the necessary assumption structure in Deep learning?,"The procedure of developing an assumption structure involves three specific actions. The first step contains algorithm development. This particular process is lengthy. The second step contains algorithm analyzing, which represents the in-process methodology. The third step is about implementing the general algorithm in the final procedure. The entire framework is interlinked and required for throughout the process."
70,DL,Easy,What is the difference between Machine Learning and Deep Learning?,"Machine Learning forms a subset of Artificial Intelligence, where we use statistics and algorithms to train machines with data, thereby helping them improve with experience. Deep Learning is a part of Machine Learning, which involves mimicking the human brain in terms of structures called neurons, thereby forming neural networks."
71,DL,Easy,What is a perceptron?,"A perceptron is similar to the actual neuron in the human brain. It receives inputs from various entities and applies functions to these inputs, which transform them to be the output. A perceptron is mainly used to perform binary classification where it sees an input, computes functions based on the weights of the input, and outputs the required transformation."
72,DL,Easy,How is Deep Learning better than Machine Learning?,"Machine Learning is powerful in a way that it is sufficient to solve most of the problems. However, Deep Learning gets an upper hand when it comes to working with data that has a large number of dimensions. With data that is large in size, a Deep Learning model can easily work with it as it is built to handle this."
73,DL,Easy,What are some of the most used applications of Deep Learning?,Deep Learning is used in a variety of fields today. The most used ones are as follows: Sentiment Analysis Computer Vision Automatic Text Generation Object Detection Natural Language Processing Image Recognition
74,DL,Easy,What is the meaning of overfitting?,"Overfitting is a very common issue when working with Deep Learning. It is a scenario where the Deep Learning algorithm vigorously hunts through the data to obtain some valid information. This makes the Deep Learning model pick up noise rather than useful data, causing very high variance and low bias. This makes the model less accurate, and this is an undesirable effect that can be prevented."
75,DL,Medium,What are activation functions?,Activation functions are entities in Deep Learning that are used to translate inputs into a usable output parameter. It is a function that decides if a neuron needs activation or not by calculating the weighted sum on it with the bias. Using an activation function makes the model output to be non-linear. There are many types of activation functions: ReLU Softmax Sigmoid Linear Tanh
76,DL,Easy,Why is Fourier transform used in Deep Learning?,Fourier transform is an effective package used for analyzing and managing large amounts of data present in a database. It can take in real-time array data and process it quickly. This ensures that high efficiency is maintained and also makes the model more open to processing a variety of signals.
77,DL,Easy,What are the steps involved in training a perception in Deep Learning?,There are five main steps that determine the learning of a perceptron: Initialize thresholds and weights Provide inputs Calculate outputs Update weights in each step Repeat steps 2 to 4
78,DL,Easy,What is the use of the loss function?,"The loss function is used as a measure of accuracy to see if a neural network has learned accurately from the training data or not. This is done by comparing the training dataset to the testing dataset. The loss function is a primary measure of the performance of the neural network. In Deep Learning, a good performing network will have a low loss function at all times when training."
79,DL,Easy,What are some of the Deep Learning frameworks or tools that you have used?,"This question is quite common in a Deep Learning interview. Make sure to answer based on the experience you have with the tools. However, some of the top Deep Learning frameworks out there today are: TensorFlow Keras PyTorch Caffe2 CNTK MXNet Theano"
80,DL,Easy,What is the use of the swish function?,The swish function is a self-gated activation function developed by Google. It is now a popular activation function used by many as Google claims that it outperforms all of the other activation functions in terms of computational efficiency.
81,DL,Medium,What are autoencoders?,"Autoencoders are artificial neural networks that learn without any supervision. Here, these networks have the ability to automatically learn by mapping the inputs to the corresponding outputs. Autoencoders, as the name suggests, consist of two entities: Encoder: Used to fit the input into an internal computation state Decoder: Used to convert the computational state back into the output"
82,DL,Medium,What are the steps to be followed to use the gradient descent algorithm?,There are five main steps that are used to initialize and use the gradient descent algorithm: Initialize biases and weights for the network Send input data through the network (the input layer) Calculate the difference (the error) between expected and predicted values Change values in neurons to minimize the loss function Multiple iterations to determine the best weights for efficient working 14. Differentiate between a single-layer perceptron and a multi-layer perceptron.
83,DL,Easy,What is data normalization in Deep Learning?,Data normalization is a preprocessing step that is used to refit the data into a specific range. This ensures that the network can learn effectively as it has better convergence when performing backpropagation.
84,DL,Easy,What is forward propagation?,"Forward propagation is the scenario where inputs are passed to the hidden layer with weights. In every single hidden layer, the output of the activation function is calculated until the next layer can be processed. It is called forward propagation as the process begins from the input layer and moves toward the final output layer."
85,DL,Medium,What are hyperparameters in Deep Learning?,"Hyperparameters are variables used to determine the structure of a neural network. They are also used to understand parameters, such as the learning rate and the number of hidden layers and more, present in the neural network."
86,DL,Medium,How can hyperparameters be trained in neural networks?,"Hyperparameters can be trained using four components as shown below: Batch size: This is used to denote the size of the input chunk. Batch sizes can be varied and cut into sub-batches based on the requirement. Epochs: An epoch denotes the number of times the training data is visible to the neural network so that it can train. Since the process is iterative, the number of epochs will vary based on the data. Momentum: Momentum is used to understand the next consecutive steps that occur with the current data being executed at hand. It is used to avoid oscillations when training. Learning rate: Learning rate is used as a parameter to denote the time required for the network to update the parameters and learn."
87,DL,Medium,What is the meaning of dropout in Deep Learning?,"Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby causing lower efficiency."
88,DL,Easy,What are tensors?,"Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors are easily understood and broadly used."
89,DL,Easy,What is the meaning of model capacity in Deep Learning?,"In Deep Learning, model capacity refers to the capacity of the model to take in a variety of mapping functions. Higher model capacity means a large amount of information can be stored in the network. We will check out neural network interview questions alongside as it is also a vital part of Deep Learning."
90,DL,Hard,What is a Boltzmann machine?,"A Boltzmann machine is a type of recurrent neural network that uses binary decisions, alongside biases, to function. These neural networks can be hooked up together to create deep belief networks, which are very sophisticated and used to solve the most complex problems out there."
91,DL,Easy,What are some of the advantages of using TensorFlow?,"TensorFlow has numerous advantages, and some of them are as follows: High amount of flexibility and platform independence Trains using CPU and GPU Supports auto differentiation and its features Handles threads and asynchronous computation easily Open-source Has a large community"
92,DL,Easy,What is a computational graph in Deep Learning?,"A computation graph is a series of operations that are performed to take in inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability. If you are looking forward to becoming an expert in Deep Learning, make sure to check out Intellipaat’s AI Engineer Course."
93,DL,Medium,What is a CNN?,CNNs are convolutional neural networks that are used to perform analysis on images and visuals. These classes of neural networks can input a multi-channel image and work on it easily. These Deep Learning questions must be answered in a concise way. So make sure to understand them and revisit them if necessary.
94,DL,Medium,What are the various layers present in a CNN?,There are four main layers that form a convolutional neural network: Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and used always with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily.
95,DL,Medium,What is an RNN in Deep Learning?,"RNNs stand for recurrent neural networks, which form to be a popular type of artificial neural network. They are used to process sequences of data, text, genomes, handwriting, and more. RNNs make use of backpropagation for the training requirements."
96,DL,Medium,What is a vanishing gradient when using RNNs?,"Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby causing efficiency problems in the network."
97,DL,Medium,What is exploding gradient descent in Deep Learning?,Exploding gradients are an issue causing a scenario that clumps up the gradients. This creates a large number of updates of the weights in the model when training. The working of gradient descent is based on the condition that the updates are small and controlled. Controlling the updates will directly affect the efficiency of the model.
98,DL,Hard,What is the use of LSTM?,LSTM stands for long short-term memory. It is a type of RNN that is used to sequence a string of data. It consists of feedback chains that give it the ability to perform like a general-purpose computational entity.
