id,domain,difficulty,question,reference_answer
29,Machine Learning,Medium,How would you evaluate whether linear regression was working correctly?,"For linear regression, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
30,Machine Learning,Medium,Compare linear regression with a simpler alternative.,"For linear regression, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
31,Machine Learning,Hard,A project result looks suspicious after using linear regression. How would you debug it?,"For linear regression, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
32,Machine Learning,Medium,What interview follow-up would you expect after explaining linear regression?,"For linear regression, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
33,Machine Learning,Hard,When would you avoid using linear regression?,"For linear regression, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
34,Machine Learning,Hard,Design an end-to-end solution that uses linear regression under production constraints.,"A strong advanced answer on linear regression should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
35,Machine Learning,Easy,What are the main edge cases and failure modes for linear regression?,"A strong advanced answer on linear regression should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
36,Machine Learning,Medium,How would you explain the trade-offs of linear regression to a technical panel?,"A strong advanced answer on linear regression should balance theory, implementation detail, evidence, and business impact. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
37,Machine Learning,Easy,What is logistic regression in Machine Learning?,"Logistic Regression is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
38,Machine Learning,Medium,Why is logistic regression important in a real interview or project?,"Logistic Regression is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
39,Machine Learning,Easy,What mistake do beginners often make with logistic regression?,"Logistic Regression is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
40,Machine Learning,Medium,How would you apply logistic regression in a realistic Machine Learning workflow?,"For logistic regression, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
41,Machine Learning,Medium,How would you evaluate whether logistic regression was working correctly?,"For logistic regression, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
42,Machine Learning,Medium,Compare logistic regression with a simpler alternative.,"For logistic regression, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
43,Machine Learning,Hard,A project result looks suspicious after using logistic regression. How would you debug it?,"For logistic regression, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
44,Machine Learning,Medium,What interview follow-up would you expect after explaining logistic regression?,"For logistic regression, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
45,Machine Learning,Hard,When would you avoid using logistic regression?,"For logistic regression, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
46,Machine Learning,Hard,Design an end-to-end solution that uses logistic regression under production constraints.,"A strong advanced answer on logistic regression should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
47,Machine Learning,Easy,What are the main edge cases and failure modes for logistic regression?,"A strong advanced answer on logistic regression should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
48,Machine Learning,Medium,How would you explain the trade-offs of logistic regression to a technical panel?,"A strong advanced answer on logistic regression should balance theory, implementation detail, evidence, and business impact. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
49,Machine Learning,Easy,What is decision trees in Machine Learning?,"Decision Trees is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
50,Machine Learning,Medium,Why is decision trees important in a real interview or project?,"Decision Trees is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
51,Machine Learning,Easy,What mistake do beginners often make with decision trees?,"Decision Trees is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
52,Machine Learning,Medium,How would you apply decision trees in a realistic Machine Learning workflow?,"For decision trees, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
53,Machine Learning,Medium,How would you evaluate whether decision trees was working correctly?,"For decision trees, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
54,Machine Learning,Medium,Compare decision trees with a simpler alternative.,"For decision trees, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
55,Machine Learning,Hard,A project result looks suspicious after using decision trees. How would you debug it?,"For decision trees, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
56,Machine Learning,Medium,What interview follow-up would you expect after explaining decision trees?,"For decision trees, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
57,Machine Learning,Hard,When would you avoid using decision trees?,"For decision trees, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
58,Machine Learning,Hard,Design an end-to-end solution that uses decision trees under production constraints.,"A strong advanced answer on decision trees should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
59,Machine Learning,Easy,What are the main edge cases and failure modes for decision trees?,"A strong advanced answer on decision trees should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
60,Machine Learning,Medium,How would you explain the trade-offs of decision trees to a technical panel?,"A strong advanced answer on decision trees should balance theory, implementation detail, evidence, and business impact. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
61,Machine Learning,Easy,What is random forests in Machine Learning?,"Random Forests is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
62,Machine Learning,Medium,Why is random forests important in a real interview or project?,"Random Forests is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
63,Machine Learning,Easy,What mistake do beginners often make with random forests?,"Random Forests is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
64,Machine Learning,Medium,How would you apply random forests in a realistic Machine Learning workflow?,"For random forests, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
65,Machine Learning,Medium,How would you evaluate whether random forests was working correctly?,"For random forests, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
66,Machine Learning,Medium,Compare random forests with a simpler alternative.,"For random forests, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
67,Machine Learning,Hard,A project result looks suspicious after using random forests. How would you debug it?,"For random forests, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
68,Machine Learning,Hard,What interview follow-up would you expect after explaining random forests?,"For random forests, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
69,Machine Learning,Hard,When would you avoid using random forests?,"For random forests, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
70,Machine Learning,Hard,Design an end-to-end solution that uses random forests under production constraints.,"A strong advanced answer on random forests should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
71,Machine Learning,Easy,What are the main edge cases and failure modes for random forests?,"A strong advanced answer on random forests should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
72,Machine Learning,Medium,How would you explain the trade-offs of random forests to a technical panel?,"A strong advanced answer on random forests should balance theory, implementation detail, evidence, and business impact. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
73,Machine Learning,Hard,What is gradient boosting in Machine Learning?,"Gradient Boosting is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should define the idea, explain why it matters, and mention a simple example. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
74,Machine Learning,Hard,Why is gradient boosting important in a real interview or project?,"Gradient Boosting is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should connect the concept to practical model, data, or business decisions. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
75,Machine Learning,Hard,What mistake do beginners often make with gradient boosting?,"Gradient Boosting is a core Machine Learning concept related to predictive modelling quality, generalisation, leakage control, and deployment reliability. A strong answer should name the common mistake, its consequence, and the safer habit. It should also state the purpose, give a small practical example, and avoid vague wording. In interviews, the key is to show that you know what the concept does, when it is useful, and what can go wrong if it is applied mechanically."
76,Machine Learning,Hard,How would you apply gradient boosting in a realistic Machine Learning workflow?,"For gradient boosting, a good candidate should describe the steps, assumptions, checks, and expected output. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
77,Machine Learning,Hard,How would you evaluate whether gradient boosting was working correctly?,"For gradient boosting, a good candidate should mention measurable evidence, validation checks, and failure signs. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
78,Machine Learning,Hard,Compare gradient boosting with a simpler alternative.,"For gradient boosting, a good candidate should explain the trade-off in accuracy, interpretability, cost, and maintainability. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
79,Machine Learning,Hard,A project result looks suspicious after using gradient boosting. How would you debug it?,"For gradient boosting, a good candidate should inspect data assumptions, implementation details, metrics, and leakage risks. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
80,Machine Learning,Hard,What interview follow-up would you expect after explaining gradient boosting?,"For gradient boosting, a good candidate should prepare a deeper answer involving edge cases, trade-offs, and limitations. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
81,Machine Learning,Hard,When would you avoid using gradient boosting?,"For gradient boosting, a good candidate should give conditions where it is unnecessary, misleading, too costly, or hard to justify. Start by clarifying the data, objective, and constraints. Then describe how the method fits into a Machine Learning workflow, how you would validate it, and which metrics or checks would prove it is reliable. The answer should include trade-offs, assumptions, and at least one failure mode rather than only giving a definition."
82,Machine Learning,Hard,Design an end-to-end solution that uses gradient boosting under production constraints.,"A strong advanced answer on gradient boosting should discuss architecture, validation, monitoring, latency, reliability, and ownership. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
83,Machine Learning,Medium,What are the main edge cases and failure modes for gradient boosting?,"A strong advanced answer on gradient boosting should identify subtle risks, diagnostic signals, and mitigation strategies. It should cover design choices, edge cases, evaluation strategy, and operational risks in Machine Learning. The best response links the technical mechanism to measurable impact, explains alternatives, and describes how to monitor or debug the solution when real data changes."
